En,Nk
come unstuck,실패하다
come unstuck,허물어지다
come unstuck,못쓰게 되다
My plan has come unstrung,계획은 실패했다
an unsubstantial building,든든하지 못한 건물
an unsubstantial meal,실속없는 식사
an article unsuitable for import,수입에 맞지 않는 물건
She is unsuitable for the role,그 녀자는 그 역에는 맞지 않다
follow the example of the unsung heroes,숨은 영웅들의 모범을 따라배우다
unsuspected small living creatures,있다고는 예상되지도 않은 미생물
untapped new sources of energy,미개발의 새로운 에네르기원천
United Nations Trusteeship Council,유엔신탁통치리사회
an unthankful child,은혜를 모르는 아이
untie the spell,주문을 풀다
It was not until yesterday that I noticed it,나는 어제야 비로소 그것을 알았다
I will wait here until the concert is over,음악회가 끝날 때까지 여기에서 기다리겠습니다
He did not come until the meeting was half over,그는 회의가 절반이나 지나가서야 비로소 나타났다
He worked and worked until he was exhausted,그는 기진맥진할 때까지 일했다
an untimely frost,때 아닌 서리
the untinged sky,빨갛게 물들지 않은 하늘
"I say unto you, be gone",제발 부탁인데 썩 사라지시오
Marriage was forever unto death,결혼이란 죽을때까지 영원한것으로 되여있었다
cause untold damage,막대한 손해를 입히다
untouchable articles in the museum,손을 대면 안되는 박물관의 전시품
untoward circumstances,역경
leave nothing untried,온갖 짓을 다 해보다
leave no means untried,갖은 수단을 다 쓰다
an untrue statement,허위진술
by an untrue means,옳지 않은 수단으로
an untruthful report,사실과 다른 보고
be unused to labour,로동에 익숙해있지 않다
the unvarnished truth,있는 그대로의 진실
an unwelcome guest,불청객
be unwilling to go,가고싶지 않다
willing or unwilling,좋든싫든
unworthy of,의 가치가 없는
an unwound clock,태엽이 풀린 시계
an unwritten agreement,구두계약
Hands up go up in an elevator,손들엇 승강기를 타고 올라가다
Come up here,여기로 올라오시오
The river is up,강물이 불었다
The tide was up,조수는 밀물이였다
Up,일어나라 서라
Part of the building was already up,그 건물의 일부는 이미 세워져있었다
The sun is up,해가 떠있다
He came up from the underground,그는 지하에서 올라왔다
The office is up on the top floor,사무실은 맨 웃층에 있다
as far up as Sonbong,북쪽은 선봉까지
She went straight up to the door,곧바로 문쪽으로 다가갔다
He came up to me,나에게 다가왔다
up till now,지금까지
Come up here,이리 오너라
My son is still up,아들은 아직 대학에 다니고있다
She is up at the head of her class,학급에서 첫 자리를 차지하고있다
from my boyhood up,나의 소년시절부터 쭉
The piano is up a tone,피아노는 한 음정 올라가있다
Speak up,큰 소리로 말하시오
Keep your voice up,목소리를 높이시오
fire up,타오르다 불끈 성을 내다
The team is up for the game,경기를 앞두고 그 팀은 기세가 등등하다
start up the engine,기관의 시동을 걸다
The question came up for discussion,그 문제가 의제에 올랐다
The lost book has turned up,없어졌던 책이 나타났다
It came up in conversation,그것이 화제로 되였다
Whats up,뭐야
Whats up,웬일이냐
Something is up,무슨 일이 생겼다
be burned up,다 타버리다
be used up,다 써버리다
clean up a room,방을 깨끗이 청소하다
pull up a car,차를 세우다
store up fuel for winter,겨울나이용으로 연료를 저장하다
tear up a letter,편지를 뜯다
take up a street,거리를 파헤치다
Its all up,만사가 다 틀어졌다
Its all up,이젠 다 됐다
The game is up,이것으로 끝났다
The game is up,만사가 끝장이다
pack up,짐을 꾸리다
bind up,붕대를 감다
chain up,사슬로 잇다
fasten up,꽉 동여매다
lock up,자물쇠를 든든히 채우다
tie up,든든히 매다
This ship is up for Wonsan,이 배는 원산행이다
with a new jockey up,새로운 기수가 말을 타고
lie face up,벌렁 드러눕다
be up all night stay up all night,밤을 꼬박 새다
you see the questions i'm up against,내가 부닥치고있는 문제를 아시겠지요
He is a bad man to be up against,그는 상종못할 사람이다
up and doing,빨랑빨랑하는
up and doing,멍청해있지 않는
up and down,올라갔다내려갔다하는
up and down,아래우로
My relationship with her was up and down,그 녀자와 나의 관계는 좋아졌다나빠졌다 했다
up close,바로 가까이에서
up close,바싹 다가와
This piano is up for sale,이 피아노는 팔려고 내놓은것이다
up there,저 높은곳에서 저승에서 저기에
He is not up to his father as a scholar,그는 학자로서는 자기 아버지를 따르지 못한다
He is no longer up to his work,그는 더는 일할수가 없다
What have you been up to,무엇을 하고있었나
Its entirely up to you,그것은 전적으로 자네에게 달려있네
She was here up until yesterday,그 녀자는 어제까지 쭉 여기 있었다
Up with you,일떠서라
Up with you,일어나라
live up a hill,언덕우에 살다
go up a ladder,사다리를 오르다
row up the stream,노를 저어 올라가다
go up the wind,바람부는쪽으로 나아가다
live a few miles up the coast,바다가에서 몇마일 내륙에서 살다
He went up Changjon,창전으로 갔다
up top,머리에
up top,뇌수에
a man with nothing much up top,머리에 든것이 없는 사람
on the up grade,올리막에
the up side,웃쪽
an up train,쪽으로 올라가는 렬차
an up platform,올라가는 선의 역홈
money up on the match,경기에 걸린 돈
an up movie,기분을 돋구어주는 영화
a strong up wind,센 맞바람
hit a ball on the up,튀여오르는 공을 치다
on the up,올리막길로 일이 잘되는
a house full of ups and downs,계단이 많은 집
"Up men, and fight until our enemies are defeated","병사들이여 일어서라, 원쑤들이 패할 때까지 싸우라"
He upped and died,갑자기 죽었다
an up and down lie,새빨간 거짓말
on the upandup,잘되여
on the upandup,성공하여
on the upandup,번영하여
on the upbeat,향상하여
an upbound train and freighter,북으로 향하는 기차와 화물선
upconverter,로 변환하다
The road went uphill,길은 올리막으로 되였다
an upland village,고지마을
plft,들어올리는 힘
a moral uplift,도덕적향상
upon my word,맹세코
depend upon it,틀림없이
depend upon it,꼭
once upon a time,옛날에
once upon a time,옛날옛적에
the upper side,웃쪽
the upper side,상부
in the upper air,하늘높이
in the upper air,상공에
the upper school,상급학교
the Upper Cambrian,후기캄브리아기
an upperbracket taxpayer,고액납세자
thin in the upper crust,머리가 이상한
the uppermost peaks of the mountain,그 산의 최고봉
the uppermost class of society,사회의 최상류계급
He said whatever came uppermost,그는 아무거나 얼핏 생각나는대로 말했다
uprear children in a good environment,어린이들을 좋은 환경에서 키우다
uproarious laughter,큰웃음
Millions of people were uprooted by the war,수백만의 사람들이 전쟁으로 집과 땅을 잃었다
uninterruptible power supply,무정전전원장치
have a stomach upset,위상태가 좋지 못하다
in the upshot,끝내
in the upshot,드디여
turn the table upside down,밥상을 뒤집어엎다
The star was upstaged by the child actor,그 인기배우는 어린이역을 하는 배우에게 인기를 빼앗겼다
be empty upstairs,머리속은 텅 비여있다
kick upstairs,허울뿐인 보다 높은 자리에 올려앉히다
an upswing in the stock market,증권시세의 오름세
Universal Postal Union,만국우편동맹
a kite upwafted by the breeze,바람을 타고 높이 떠오르는 연
cast an upward glance,힐끗 올려다보다
uranic acid,우란산
"I did it, urged by necessity",꼭 필요해서 그렇게 했다
He urged upon us the importance of the measure,그는 우리에게 그 조치의 중요성을 력설하였다
He had the urge to fight against the oppressors,그는 압제자들을 반대하여 싸우고싶은 강한 충동을 느꼈다
a sense of urgency,절박감
an urgent telegram,지급전보
an urgent motion,긴급제의
on urgent business,급한 일로
urinary disease,비뇨기질환
urinary organs,비뇨기
urinary bladder,방광
urinary calculus,뇨석
Give us a penny,한푼만 주시오
This fact shows us that,이 사실에서 하다는것을 알수 있다
We laid us down,우리는 드러누웠다
annual usage,년간사용량
social usage,사교상의 관례
according to usage,관례에 따라
modern English usage,현대영어관용법
the current usage of Americanism,현대미국어법
come into usage,쓰이게 되다
go out of usage,쓰이지 않게 되다
bills drawn at usance,관습기간부의 수형
United States Department of Agriculture,미국농무성
use every opportunity,모든 기회를 리용하다
know how to use dictionaries properly,사전을 옳게 리용하는 법을 알다
May I use your telephone,전화를 써도 되겠습니까
I was being merely used,나는 다만 리용당하고있었을 따름이였다
use force,폭력을 쓰다
"They used him like an old, familiar friend",그들은 마치도 그를 잘 아는 오랜 친구처럼 대했다
How is the world using you,요사이 재미가 어떻습니까
use language,욕지거리를 퍼붓다
use the sea,선원생활을 하다
Use your pleasure,마음을 푹 놓으세요
be in use,사용중
be in use,쓰이고있다
things in daily use,일용품
Your country has use for you,조국이 자네를 필요로 하고있네
use and won't,관습
use and won't,관례
bring into use come into use,을 사용하기 시작하다
It is no use crying over spilt milk,엎지른 물을 다시 담을수 없다
go out of use be out of use,쓸모없이 되다
have no use for,은 쓸데없다
have no use for,할 필요가 없다
have the use of,하는 습관이 있다
in use,쓰이고있는 일반적으로 리행되고있는
maps for use in school,학교용괘도
put to use,리용하다
put to use,쓰다
Once a use forever a custom,세살적버릇이 여든까지 간다
Use makes perfect,배우느니 익혀라
use and won't,관습
with use,늘 써서
be used to,에 익숙해져있다
get used to become used to,에 익숙해지다
I used to see him often,이전에는 그를 자주 만나군하였다
He came earlier than he used to,여느때보다 일찍 왔다
used cars,중고차
useful books for new students,신입생에게 유익한 책들
This article is useful to have in the house,이 물건이 집에 있으면 편리하다
a useful member,유능한 성원
She is pretty useful at cooking,그 녀자의 료리솜씨는 제법이다
uselessly,무익하게
uselessly,쓸데없이
uselessly,헛되이
the habitual user of,을 상습적으로 쓰는 사람
usher a guest to the drawing room,손님을 응접실에 안내하다
The return of swallows ushered in spring,돌아온 제비들이 봄을 알렸다
United States Information Agency,미국해외정보국
United States Information Service,미국공보원
earlier than usual,여느때보다 일찍
in the usual way,여느때와 같이
as is usual with,에게 있어서는 보통 있는 일이지만
It is usual with him to be late,그가 늦어지는것은 보통이다
He says the usual things,흔해빠진 소리만 한다
out of the usual,진귀한
out of the usual,보통이 아닌
more than usually late,평상시보다 늦은
He usually visits us on Sunday afternoons,그는 여느때에는 일요일 오후에 찾아온다
a usurious rate of interest,아주 높은 리자
with usury,리자를 붙여서
Utah,주사람
farming utensils,농기구
utensils of war,무기
sacred utensils,성기
sacred utensils,교회용기구
household utensils,가정용품
uterine descent,아버지가 다른 자손
uterine descent,어머니는 같고 아버지가 다른 계통
from the merely utilitarian point of view,다만 실용주의적인 견지에서
of no utility,소용없는
of no utility,쓸모없는
of no utility,무익한
from the point of view of practical utility,실리적인 관점에서
marginal utility,경제 한계효용
a matter of the utmost importance,더없이 중요한 일
with the utmost effort,최대의 노력을 하여
get the utmost out of,을 최대한 활용하다
to the utmost,최대한으로
to the utmost,극도로
a Utopian scheme,비현실적인 계획
in utter darkness,새까만 어둠속에서
that's utter nonsense,그건 순전히 허튼소리다
an utter denial,단호한 부인
an utter stranger,생판 모르는 남
a man of good utterance,말재간이 있는 사람
defective utterance,발음불완전
to the utterance,죽을 때까지
to the utterance,마지막까지
sink utterly to the bottom of the sea,완전히 바다밑에 가라앉다
an expression of vacancy,멍청한 표정
a vacant lot,빈 땅
a vacant room in a hotel,려관의 빈 방
give a vacant laugh,멍청한 웃음을 짓다
look into vacant space,허공을 바라보다
be vacant of sympathy,동정심이 없다
They are on vacation from school,학교는 방학중이다
have a vacation at the seaside,바다가에서 휴가를 보내다
rabies vaccination,미친개병예방주사
vaccinationist,예방접종론자
a vaccine farm,두묘제조소
vaccine therapy,왁찐료법
combined vaccine,혼합왁찐
the vacuous air,진공
a vacuous expression,멍청한 표정
absolute vacuum,절대진공
the vacuum left in his life by his wifes death,안해가 죽은 후 생긴 생활상의 공백
woe to the vanquished,패배자는 무참하도다
a vagarious poet,방랑시인
vagrant whales,떠돌아다니는 고래들
a vagrant leaf blown by the wind,바람부는대로 이리저리 날리는 나무잎
yield to vague terrors,막연한 공포심에 사로잡히다
make a vague answer,애매한 대답을 하다
I havent the vaguest idea what to do,어떻게 해야 좋을지 전혀 모르겠다
He vailed his eyes again,그는 다시 눈을 내리깔았다
a vain hope,헛된 희망
All our efforts were vain,우리들의 노력은 모두 수포로 돌아갔다
vain promises,빈 약속
She is vain of her voice,그 녀자에게는 목소리가 큰 자랑이다
in vain,헛되이
in vain,공연히
All our efforts were in vain,우리의 모든 노력은 수포로 돌아갔다
a valedictory speech,고별사
valence bond,원자가결합
valence electron,원자가전자
Oregon,미국주의 별칭
a valid conclusion,타당한 결론
a valid remedy,효과적인 치료
a valid contract,합법적인 계약
the term of validity,유효기간
the valley of despair,절망의 골짜기
valley of the dolls,극도의 정신적불안정상태
valuable papers,유가증권
a book very valuable to for teachers,교원들에게 매우 귀중한 책
They locked their valuables in the hotel safe,려관의 금고에 귀중품을 넣어두었다
Dont leave any valuables on the bus,뻐스에 귀중품을 놓고 내리지 마시오
the value of good books,좋은 책의 가치
propaganda value,선전가치
market value,시장가격
surplus value,경제 잉여가치
give good value for,에 대하여 충분한 대가를 주다
face value,액면가격
out of value,밝음과 어둠이 조화되지 않는
the erosion of traditional values,전통적가치관의 붕괴
give value for value,값어치만큼 지불하다
news of value,중대소식
to the value of,의 가치가 있는
to the value of,가격이 에 달하는
to the value of honour above money,돈보다 명예를 더 귀중히 여기다
many valued,다원적가치를 가진
a thermionic valve,열전자관
a valve set,전자관식수신기
vamp up an excuse,핑게를 꾸며대다
lead the van,주동자가 되다
lead the van,선구자의 역할을 하다
They are in the vanguard of fashion,류행의 첨단에 서있다
vanish into smoke,연기로 사라지다
vanish into thin air,자취도 없이 사라지다
vanish like a bubble,거품처럼 사라지다
vanisher vanishingly vanishment,소멸
A mans vanity is his tenderest spot,허영심은 사람의 가장 큰 약점이다
Vanity of vanities all is vanity,헛되고 헛되니 모든것이 헛되도다
the vanquished,패배자
the vanquished,피정복자
vanquish the temptation of the flesh,육체의 유혹을 이겨내다
for the vantage to the vantage,게다가 또
run vapid,김이 빠지다
Enough heat will vaporize nearly any solid,충분한 열을 주면 거의 어떤 고체라도 기화한다
vaporizable vaporizer,증발기
vaporizable vaporizer,기화기
vaporizable vaporizer,분무기
water vapour,수증기
vapour away a heated fluid,가열한 액체를 증발시키다
vapour forth highflown fancies,터무니없는 기염을 토하다
a man of variable temper,변덕스러운 사나이
variable weather,변하기 쉬운 날씨
a variable condenser,가변콘덴샤
Prices are variable according to the exchanges,물가는 환자시세에 따라 변한다
variableness,변하기 쉬움
variableness,변화성
variableness,변동성
variance of temperature,기온의 변동
the variance between reports,보고들사이의 불일치
set variance at,리간질하다
set variance at,사이를 나빠지게 하다
variations on the theme of,의 여러가지의 변종
varicose veins,부정맥증
a varied career,파란곡절이 많은 경력
live a varied life,변화많은 생활을 하다
the variegated nature of English,영어의 다양성
a life full of variety,변화가 많은 인생
a variety of excellent dishes,뒤섞은 여러가지 맛있는 음식
for a variety of reasons,여러가지 리유로
an early flowering variety of tulip,튤립의 일찍 피는 종
for varietys sake,변화를 주기 위하여
for varietys sake,방향을 달리하기 위하여
unity in variety,다양성중의 통일
a variorum edition,집주판
a variorum edition,집주본
The modes of procedure are various,수속양식은 여러가지이다
a man of various talent,다재다능한 사람
run away in various directions,좌왕우왕하며 달아나다
